ID_IRVE;puissance_souscrite;Proprietaire;Type_site;Departement;Nb_bornes
15145260;3.7;Com. Agglo. Castres-Mazamet;Parking;81;4
16101777;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16190212;147;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
16190229;100;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
16195843;36;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
16225032;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16248080;93;Syndicat Départemental d'Énergie du Tarn (SDET);Station en voirie;81;1
16250627;93;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16251440;93;Syndicat Mixte Départemental d'Équipement des Communes des Landes  (SYDEC);Station en voirie;40;1
16275553;93;Syndicat Intercommunal d’Énergies du Département de l’Aveyron (SIEDA);Station en voirie;12;1
16284482;93;Tesla Motors;Commerce;80;10
16303380;93;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Parking;22;1
16330012;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16333102;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16363544;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16363546;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16403972;36;Entreprises divers;Station en voirie;95;1
16404380;36;Syndicat d'Énergie des Pyrénées-Atlantiques (SDEPA);Station en voirie;64;1
16409170;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16416243;143;Syndicat Départemental d’Énergie et d’Équipement du Finistère (SDEF);Parking;29;2
16417127;22;Entreprises divers;Station en voirie;95;1
16435103;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16447950;36;Syndicat Mixte Départemental d'Équipement des Communes des Landes  (SYDEC);Station en voirie;40;1
16455672;36;Tesla Motors;Commerce;2;8
16502023;36;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
16523626;36;Syndicat Départemental d'Électricité et d'Énergie de Lot-et-Garonne (SDEE47);Station en voirie;47;2
16535540;36;Tesla Motors;Commerce;31;4
16547451;36;Morbihan énergies;Station en voirie;56;1
16567750;22;Morbihan énergies;Station en voirie;56;1
16578229;22;Syndicat Départemental d'Énergie de Loire-Atlantique (SYDELA);Parking;44;1
16584520;36;Tesla Motors;Commerce;4;4
16591596;44;Entreprises divers;Site public;95;1
16598788;44;Syndicat Départemental d'Énergie de Loire-Atlantique (SYDELA);Station en voirie;44;1
16610845;44;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16614388;44;Syndicat Départemental d'Énergie Électrique de Gironde (SDEEG);Station en voirie;33;1
16617076;36;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
16631047;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16631048;143;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16631052;44;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16631102;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;1
16644501;36;Tesla Motors;Commerce;38;8
16677209;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;2
16692798;44;Syndicat Départemental d'Énergie De la Haute-Garonne (SDEHG);Station en voirie;31;1
16695710;44;Syndicat Départemental d'Énergie des Hautes-Pyrénées (SDE65);Station en voirie;65;1
16702484;44;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
16704040;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;1
16717252;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;1
16728842;44;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Parking;14;1
16742774;36;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16754503;44;Syndicat intercommunal d'énergie d'Indre-et-Loire;Parking;37;1
16759693;36;Syndicat Mixte d'Électricité du Gard (SMEG);Parking;30;1
16791168;44;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16807036;520;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Parking;22;1
16809249;44;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
16817109;86;Syndicat Départemental d'Énergie Électrique de Gironde (SDEEG);Station en voirie;33;1
16817260;1040;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Parking;22;1
16836074;36;Syndicat Départemental d'Énergie des Hautes-Pyrénées (SDE65);Station en voirie;65;1
16847847;36;Syndicat Départemental d'Énergie des Hautes-Pyrénées (SDE65);Station en voirie;65;1
16857939;36;Syndicat Départemental d'Énergie Électrique de Gironde (SDEEG);Station en voirie;33;1
16872249;36;Morbihan énergies;Station en voirie;56;1
16895818;44;Rambouillet Territoires;Station en voirie;78;1
16900423;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;1
16905378;44;Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82);Station en voirie;82;1
16919633;1040;Tesla Motors;Commerce;76;8
16928029;44;Syndicat Départemental d’Énergies de la Dordogne (SDE24);Station en voirie;24;1
16933020;44;Morbihan énergies;Station en voirie;56;1
16933113;520;Syndicat Départemental d'Énergie 35 (SDE35);Parking;35;1
16935008;36;Syndicat d'Énergie des Pyrénées-Atlantiques (SDEPA);Station en voirie;64;1
16936002;44;Tesla Motors;Commerce;18;8
16936006;44;Tesla Motors;Commerce;51;6
16936037;44;Tesla Motors;Commerce;51;6
16942982;44;Syndicat de l'Énergie de l'Orne (SE61);Station en voirie;61;1
16971077;44;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Parking;14;1
16972340;36;Syndicat Départemental d'Energies de l'Indre (SDEI36);Station en voirie;36;1
16974232;44;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
16976029;1040;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
16979272;36;Tesla Motors;Commerce;35;8
16996978;86;Morbihan énergies;Station en voirie;56;1
17031051;44;Morbihan énergies;Entreprise;56;1
17044553;44;Syndicat Départemental d’Énergie et d’Équipement du Finistère (SDEF);Parking;29;1
17046671;44;Morbihan énergies;Station en voirie;56;1
17050040;780;Tesla Motors;Commerce;62;6
17051471;44;Morbihan énergies;Parking;56;1
17054514;44;Morbihan énergies;Parking;56;1
17062206;44;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
17063730;93;Syndicat Départemental d’Énergies de la Dordogne (SDE24);Station en voirie;24;1
17080230;1040;Syndicat Mixte d'Électricité du Gard (SMEG);Station en voirie;30;1
17082257;44;Tesla Motors;Commerce;36;8
17087327;36;Morbihan énergies;Parking;56;1
17110741;44;Syndicat de l'Énergie de l'Orne (SE61);Station en voirie;61;1
17117350;44;Rambouillet Territoires;Station en voirie;78;1
17133723;36;Rambouillet Territoires;Station en voirie;78;1
17133728;780;Rambouillet Territoires;Station en voirie;78;1
17133730;780;Rambouillet Territoires;Station en voirie;78;1
17139961;1040;Région Hauts-de-France;Station en voirie;62;1
17149903;86;Syndicat Mixte d'Électricité du Gard (SMEG);Parking;30;1
17176856;61;Tesla Motors;Commerce;73;4
17183936;44;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Parking;22;1
17183941;86;Syndicat Départemental d'Énergie Des Côtes d'Armor (SDE22);Station en voirie;22;1
17192052;1040;Tesla Motors;Commerce;63;8
17209034;44;Syndicat Départemental d'Énergie Électrique de Gironde (SDEEG);Station en voirie;33;1
17209035;44;Syndicat Départemental d'Énergie Électrique de Gironde (SDEEG);Station en voirie;33;1
17231042;44;Morbihan énergies;Parking;56;1
17233012;44;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17233016;86;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17267084;86;Communauté de Communes de la Haute Vallée de Chevreuse (CCHVC);Parking;78;1
17267089;61;Communauté de Communes de la Haute Vallée de Chevreuse (CCHVC);Station en voirie;78;1
17274444;44;Tesla Motors;Commerce;37;8
17367089;86;Syndicat Départemental d’Énergies de la Dordogne (SDE24);Station en voirie;24;1
17367299;44;Morbihan énergies;Parking;56;1
17375027;44;Tesla Motors;Commerce;51;4
17399437;36;Morbihan énergies;Station en voirie;56;1
17414337;36;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17440794;36;Morbihan énergies;Parking;56;1
17452827;36;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17462238;44;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
17472645;44;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17472646;44;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17472648;44;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17478076;86;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17480724;36;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17480726;44;Syndicat Départemental d'Énergies du Gers (SDEG);Parking;32;1
17481098;1040;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17485931;44;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Parking;14;1
17485935;36;Syndicat Mixte Départemental d'Énergies du Calvados (SDEC Énergie);Station en voirie;14;1
17499258;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
17561130;36;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17648868;44;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
17675681;86;Morbihan énergies;Parking;56;1
17678398;36;Morbihan énergies;Parking;56;1
17688295;36;Morbihan énergies;Parking;56;1
17696587;44;Morbihan énergies;Station en voirie;56;1
17938898;520;Syndicat intercommunal d'énergie d'Indre-et-Loire;Station en voirie;37;1
17962124;36;Syndicat Départemental d'Énergies d'Eure et Loir (SDE28);Station en voirie;28;1
18006819;44;Syndicat Départemental d'Énergies d'Eure et Loir (SDE28);Station en voirie;28;1
18047542;44;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
18062229;520;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18068698;86;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
18086540;44;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
18283534;1040;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
18286245;125.7;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
18319775;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18320046;44;Syndicat Départemental d'Énergies d'Eure et Loir (SDE28);Station en voirie;28;1
18399014;144;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18433882;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18512160;86;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18519893;44;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18549207;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18549209;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18549211;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18549214;36;Syndicat d’Énergie et d’Équipement de la Vendée (SyDEV);Station en voirie;85;1
18594522;44;Morbihan énergies;Station en voirie;56;1
18594792;1300;Morbihan énergies;Station en voirie;56;1
18595665;44;Morbihan énergies;Station en voirie;56;1
18595984;125.7;Morbihan énergies;Station en voirie;56;1
18596028;36;Morbihan énergies;Station en voirie;56;1
18596368;251.4;Morbihan énergies;Station en voirie;56;1
70025177;36;Syndicat intercommunal d'énergie d'Indre-et-Loire;Station en voirie;37;1
70129018;22;Syndicat intercommunal d'énergie d'Indre-et-Loire;Station en voirie;37;1
77452640;22;Mairie de Bordeaux;Station en voirie;33;2
78976290;22;Syndicat Départemental d'Énergie des Hautes-Pyrénées (SDE65);Station en voirie;65;1
87871392;36;Syndicat Départemental Des Énergies De Seine-Et-Marne (SDESM);Station en voirie;77;1
99443934;28;Commerçants divers;Commerce;6;1
